Date,Country,Cumulative number of case(s),Number of deaths,Number recovered
3/17/03,Germany,1,0,0
3/17/03,Canada,8,2,0
3/17/03,Singapore,20,0,0
3/17/03,"Hong Kong SAR, China",95,1,0
3/17/03,Switzerland,2,0,0
3/17/03,Thailand,1,0,0
3/17/03,Viet Nam,40,1,0
3/18/03,Germany,2,0,0
3/18/03,Canada,8,2,0
3/18/03,China,0,0,0
3/18/03,Singapore,23,0,0
3/18/03,"Hong Kong SAR, China",123,1,0
3/18/03,"Taiwan, China",3,0,0
3/18/03,Thailand,1,0,0
3/18/03,Viet Nam,57,1,0
3/18/03,Slovenia,1,0,0
3/18/03,United Kingdom,1,0,0
3/19/03,Canada,8,2,0
3/19/03,China,0,0,0
3/19/03,Germany,1,0,0
3/19/03,"Hong Kong SAR, China",150,5,0
3/19/03,Singapore,31,0,0
3/19/03,Slovenia,1,0,0
3/19/03,Spain,1,0,0
3/19/03,"Taiwan, China",3,0,0
3/19/03,Thailand,1,0,0
3/19/03,United Kingdom,1,0,0
3/19/03,United States,11,0,0
3/19/03,Viet Nam,56,2,0
3/20/03,Canada,9,2,0
3/20/03,China,0,0,0
3/20/03,Germany,1,0,0
3/20/03,"Hong Kong SAR, China",173,6,0
3/20/03,Singapore,34,0,0
3/20/03,Slovenia,1,0,0
3/20/03,Spain,1,0,0
3/20/03,Switzerland,7,0,0
3/20/03,"Taiwan, China",4,0,0
3/20/03,Thailand,1,0,0
3/20/03,United Kingdom,2,0,0
3/20/03,United States,11,0,0
3/20/03,Viet Nam,62,2,0
3/21/03,Canada,9,2,0
3/21/03,China,0,0,0
3/21/03,Germany,1,0,0
3/21/03,"Hong Kong SAR, China",203,6,0
3/21/03,Italy,1,0,0
3/21/03,Republic of Ireland,1,0,0
3/21/03,Singapore,39,0,0
3/21/03,Slovenia,1,0,0
3/21/03,Spain,1,0,0
3/21/03,Switzerland,7,0,0
3/21/03,"Taiwan, China",6,0,0
3/21/03,Thailand,4,0,0
3/21/03,United Kingdom,2,0,0
3/21/03,United States,13,0,0
3/21/03,Viet Nam,62,2,0
3/22/03,Canada,9,2,0
3/22/03,China,0,0,0
3/22/03,Germany,2,0,0
3/22/03,"Hong Kong SAR, China",222,7,0
3/22/03,Italy,2,0,0
3/22/03,Republic of Ireland,1,0,0
3/22/03,Singapore,44,0,0
3/22/03,Slovenia,1,0,0
3/22/03,Spain,1,0,0
3/22/03,Switzerland,7,0,0
3/22/03,"Taiwan, China",6,0,0
3/22/03,Thailand,4,0,0
3/22/03,United Kingdom,2,0,0
3/22/03,United States,22,0,0
3/22/03,Viet Nam,63,2,0
3/24/03,Canada,11,3,0
3/24/03,China,0,0,0
3/24/03,France,1,0,0
3/24/03,Germany,4,0,0
3/24/03,"Hong Kong SAR, China",260,10,0
3/24/03,Italy,2,0,0
3/24/03,Republic of Ireland,1,0,0
3/24/03,Singapore,65,0,0
3/24/03,Spain,1,0,0
3/24/03,Switzerland,2,0,0
3/24/03,"Taiwan, China",6,0,0
3/24/03,Thailand,5,0,0
3/24/03,United Kingdom,3,0,0
3/24/03,United States,37,0,0
3/24/03,Viet Nam,58,4,0
3/25/03,Canada,11,3,0
3/25/03,China,0,0,0
3/25/03,France,1,0,0
3/25/03,Germany,4,0,0
3/25/03,"Hong Kong SAR, China",286,10,0
3/25/03,Italy,2,0,0
3/25/03,Republic of Ireland,1,0,0
3/25/03,Singapore,69,0,0
3/25/03,Switzerland,2,0,0
3/25/03,"Taiwan, China",6,0,0
3/25/03,Thailand,5,0,0
3/25/03,United Kingdom,3,0,0
3/25/03,United States,39,0,0
3/25/03,Viet Nam,58,4,0
3/26/03,Canada,19,3,0
3/26/03,China,792,31,0
3/26/03,"Hong Kong SAR, China",316,10,0
3/26/03,"Taiwan, China",6,0,0
3/26/03,France,1,0,0
3/26/03,Germany,4,0,0
3/26/03,Italy,3,0,0
3/26/03,Republic of Ireland,2,0,0
3/26/03,Singapore,74,1,0
3/26/03,Switzerland,2,0,0
3/26/03,Thailand,3,0,0
3/26/03,United Kingdom,3,0,0
3/26/03,United States,40,0,0
3/26/03,Viet Nam,58,4,0
3/27/03,Canada,28,3,0
3/27/03,China,806,34,0
3/27/03,"Hong Kong SAR, China",367,10,0
3/27/03,"Taiwan, China",6,0,0
3/27/03,France,1,0,0
3/27/03,Germany,4,0,0
3/27/03,Italy,2,0,0
3/27/03,Republic of Ireland,2,0,0
3/27/03,Romania,3,0,0
3/27/03,Singapore,78,2,0
3/27/03,Switzerland,2,0,0
3/27/03,Thailand,3,0,0
3/27/03,United Kingdom,3,0,0
3/27/03,United States,45,0,0
3/27/03,Viet Nam,58,4,0
3/28/03,Canada,29,3,0
3/28/03,China,806,34,0
3/28/03,"Hong Kong SAR, China",425,10,0
3/28/03,"Taiwan, China",10,0,0
3/28/03,France,1,0,0
3/28/03,Germany,4,0,0
3/28/03,Italy,2,0,0
3/28/03,Republic of Ireland,2,0,0
3/28/03,Romania,3,0,0
3/28/03,Singapore,86,2,0
3/28/03,Switzerland,2,0,0
3/28/03,Thailand,3,0,0
3/28/03,United Kingdom,3,0,0
3/28/03,United States,51,0,0
3/28/03,Viet Nam,58,4,0
3/29/03,Canada,37,3,0
3/29/03,China,806,34,0
3/29/03,"Hong Kong SAR, China",470,10,0
3/29/03,"Taiwan, China",10,0,0
3/29/03,France,1,0,0
3/29/03,Germany,4,0,0
3/29/03,Italy,2,0,0
3/29/03,Republic of Ireland,2,0,0
3/29/03,Romania,3,0,0
3/29/03,Singapore,89,2,0
3/29/03,Switzerland,3,0,0
3/29/03,Thailand,3,1,0
3/29/03,United Kingdom,3,0,0
3/29/03,United States,59,0,0
3/29/03,Viet Nam,58,4,0
3/31/03,Canada,44,4,0
3/31/03,China,806,34,0
3/31/03,"Hong Kong SAR, China",530,13,0
3/31/03,"Taiwan, China",10,0,0
3/31/03,France,1,0,0
3/31/03,Germany,5,0,0
3/31/03,Italy,2,0,0
3/31/03,Republic of Ireland,2,0,0
3/31/03,Romania,3,0,0
3/31/03,Singapore,91,2,0
3/31/03,Switzerland,3,0,0
3/31/03,Thailand,5,1,0
3/31/03,United Kingdom,3,0,0
3/31/03,United States,59,0,0
3/31/03,Viet Nam,58,4,0
4/1/03,Australia,1,0,0
4/1/03,Belgium,1,0,0
4/1/03,Canada,53,4,0
4/1/03,China,806,34,0
4/1/03,"Hong Kong SAR, China",685,16,0
4/1/03,"Taiwan, China",13,0,0
4/1/03,France,1,0,0
4/1/03,Germany,5,0,0
4/1/03,Italy,3,0,0
4/1/03,Republic of Ireland,2,0,0
4/1/03,Romania,3,0,0
4/1/03,Singapore,92,3,0
4/1/03,Switzerland,3,0,0
4/1/03,Thailand,6,1,0
4/1/03,United Kingdom,3,0,0
4/1/03,United States,69,0,0
4/1/03,Viet Nam,58,4,0
4/2/03,Australia,1,0,0
4/2/03,Belgium,1,0,0
4/2/03,Canada,58,6,0
4/2/03,China,1190,46,0
4/2/03,"Hong Kong SAR, China",708,16,0
4/2/03,"Taiwan, China",13,0,0
4/2/03,France,1,0,0
4/2/03,Germany,5,0,0
4/2/03,Italy,3,0,0
4/2/03,Republic of Ireland,2,0,0
4/2/03,Romania,3,0,0
4/2/03,Singapore,95,4,0
4/2/03,Spain,1,0,0
4/2/03,Switzerland,2,0,0
4/2/03,Thailand,7,2,0
4/2/03,United Kingdom,3,0,0
4/2/03,United States,72,0,0
4/2/03,Viet Nam,58,4,0
4/3/03,Australia,1,0,0
4/3/03,Belgium,1,0,0
4/3/03,Brazil,1,0,0
4/3/03,Canada,62,6,0
4/3/03,China,1190,46,0
4/3/03,"Hong Kong SAR, China",734,17,0
4/3/03,"Taiwan, China",14,0,0
4/3/03,France,3,0,0
4/3/03,Germany,5,0,0
4/3/03,Italy,3,0,0
4/3/03,Republic of Ireland,1,0,0
4/3/03,Romania,1,0,0
4/3/03,Singapore,98,4,0
4/3/03,Switzerland,2,0,0
4/3/03,Thailand,7,2,0
4/3/03,United Kingdom,3,0,0
4/3/03,United States,85,0,0
4/3/03,Viet Nam,59,4,0
4/4/03,Australia,1,0,0
4/4/03,Belgium,1,0,0
4/4/03,Brazil,1,0,0
4/4/03,Canada,69,7,0
4/4/03,China,1220,49,0
4/4/03,"Hong Kong SAR, China",761,17,0
4/4/03,"Taiwan, China",15,0,0
4/4/03,France,3,0,0
4/4/03,Germany,5,0,0
4/4/03,Italy,3,0,0
4/4/03,Republic of Ireland,1,0,0
4/4/03,Romania,1,0,0
4/4/03,Singapore,100,5,0
4/4/03,Spain,1,0,0
4/4/03,Switzerland,2,0,0
4/4/03,Thailand,7,2,0
4/4/03,United Kingdom,3,0,0
4/4/03,United States,100,0,0
4/4/03,Viet Nam,59,4,0
4/5/03,Australia,1,0,0
4/5/03,Belgium,1,0,0
4/5/03,Brazil,1,0,0
4/5/03,Canada,74,7,0
4/5/03,China,1220,49,0
4/5/03,"Hong Kong SAR, China",800,20,0
4/5/03,"Taiwan, China",17,0,0
4/5/03,France,3,0,0
4/5/03,Germany,5,0,0
4/5/03,Italy,3,0,0
4/5/03,Malaysia,1,1,0
4/5/03,Republic of Ireland,1,0,0
4/5/03,Romania,1,0,0
4/5/03,Singapore,101,6,0
4/5/03,Spain,1,0,0
4/5/03,Switzerland,1,0,0
4/5/03,Thailand,7,2,0
4/5/03,United Kingdom,4,0,0
4/5/03,United States,115,0,0
4/5/03,Viet Nam,59,4,0
4/7/03,Australia,1,0,0
4/7/03,Brazil,1,0,0
4/7/03,Canada,90,9,0
4/7/03,China,1268,53,0
4/7/03,"Hong Kong SAR, China",883,23,0
4/7/03,"Taiwan, China",21,0,0
4/7/03,France,3,0,0
4/7/03,Germany,5,0,0
4/7/03,Italy,3,0,0
4/7/03,Malaysia,1,1,0
4/7/03,Republic of Ireland,1,0,0
4/7/03,Romania,1,0,0
4/7/03,Singapore,106,6,0
4/7/03,Spain,1,0,0
4/7/03,Switzerland,1,0,0
4/7/03,Thailand,7,2,0
4/7/03,United Kingdom,5,0,0
4/7/03,United States,141,0,0
4/7/03,Viet Nam,62,4,0
4/8/03,Australia,1,0,0
4/8/03,Brazil,1,0,0
4/8/03,Canada,91,10,0
4/8/03,China,1279,53,0
4/8/03,"Hong Kong SAR, China",928,25,0
4/8/03,"Taiwan, China",19,0,0
4/8/03,France,4,0,0
4/8/03,Germany,5,0,0
4/8/03,Italy,3,0,0
4/8/03,Malaysia,1,1,0
4/8/03,Republic of Ireland,1,0,0
4/8/03,Romania,1,0,0
4/8/03,Singapore,113,8,0
4/8/03,Spain,1,0,0
4/8/03,Switzerland,1,0,0
4/8/03,Thailand,7,2,0
4/8/03,United Kingdom,5,0,0
4/8/03,United States,148,0,0
4/8/03,Viet Nam,62,4,0
4/9/03,Brazil,1,0,0
4/9/03,Canada,94,10,0
4/9/03,China,1280,53,0
4/9/03,"Hong Kong SAR, China",970,27,0
4/9/03,"Taiwan, China",19,0,0
4/9/03,France,4,0,0
4/9/03,Germany,5,0,0
4/9/03,Italy,3,0,0
4/9/03,Malaysia,1,1,0
4/9/03,Republic of Ireland,1,0,0
4/9/03,Romania,1,0,0
4/9/03,Singapore,118,9,0
4/9/03,Spain,1,0,0
4/9/03,Switzerland,1,0,0
4/9/03,Thailand,7,2,0
4/9/03,United Kingdom,5,0,0
4/9/03,United States,149,0,0
4/9/03,Viet Nam,62,4,0
4/10/03,Brazil,2,0,0
4/10/03,Canada,97,10,22
4/10/03,China,1290,55,1025
4/10/03,"Hong Kong SAR, China",998,30,154
4/10/03,"Taiwan, China",19,0,5
4/10/03,France,4,0,0
4/10/03,Germany,6,0,2
4/10/03,Italy,3,0,1
